Date,Price
2020-10-03,0.667158836303499
2020-10-04,0.6659458791246392
2020-10-05,0.6732508266212598
2020-10-06,0.6726912933056652
2020-10-07,0.6365330113420493
2020-10-08,0.6285541181379793
2020-10-09,0.6358563921445513
2020-10-10,0.636671154429068
2020-10-11,0.6399224486175638
2020-10-12,0.6333779707878873
2020-10-13,0.63651888032923
2020-10-14,0.6183390378033068
2020-10-15,0.6126234944168848
2020-10-16,0.6120301923896306
2020-10-17,0.5947982651000256
2020-10-18,0.6407569027698633
2020-10-19,0.6432452091283476
2020-10-20,0.6060285301858745
2020-10-21,0.5720634725540419
2020-10-22,0.5549179398229941
2020-10-23,0.5759043963024154
2020-10-24,0.5990327866508045
2020-10-25,0.5111307400320116
2020-10-26,0.4998884498240609
2020-10-27,0.5837596272812562
2020-10-28,0.585268533527224
2020-10-29,0.5422043050889388
2020-10-30,0.576680433422023
2020-10-31,0.5753085622169017
2020-11-01,0.5656010531361894
2020-11-02,0.560991190017999
2020-11-03,0.557766230369015
2020-11-04,0.5574707525956005
2020-11-05,0.5485432139767061
2020-11-06,0.5425993189440157
2020-11-07,0.5407394037081618
2020-11-08,0.5433076314613257
2020-11-09,0.5429423202094937
2020-11-10,0.5435405149387653
2020-11-11,0.5420368453409828
2020-11-12,0.5478263428091156
2020-11-13,0.5466830220588269
2020-11-14,0.543189439627194
2020-11-15,0.5492303310037232
2020-11-16,0.5459012031639795
2020-11-17,0.5517071598332397
2020-11-18,0.5490921101535304
2020-11-19,0.5453276941038862
2020-11-20,0.5509854787518362
2020-11-21,0.5394467734188976
2020-11-22,0.5487335846713558
2020-11-23,0.5572082215833575
2020-11-24,0.5589594467333489
2020-11-25,0.549466308943343
2020-11-26,0.5250224622513566
2020-11-27,0.5079157453969304
2020-11-28,0.506437571872502
2020-11-29,0.5027750032128729
2020-11-30,0.5136280705915662
2020-12-01,0.5081579609871263
2020-12-02,0.49757529914197507
2020-12-03,0.5077592347658599
2020-12-04,0.4965300780846425
2020-12-05,0.5149157522138537
2020-12-06,0.5171779614104509
2020-12-07,0.5239017068323119
2020-12-08,0.5513853795252385
2020-12-09,0.6381893548199318
2020-12-10,0.6115779298741999
2020-12-11,0.6344238843111767
2020-12-12,0.6167890864227584
2020-12-13,0.6658866377007723
2020-12-14,0.7137252981373843
2020-12-15,0.6951632253074135
2020-12-16,0.6745038142537049
2020-12-17,0.6605662033910787
2020-12-18,0.649315848956451
2020-12-19,0.6304657464837377
2020-12-20,0.6397487146366917
2020-12-21,0.6216554272951619
2020-12-22,0.6079238956732265
2020-12-23,0.6162965418550563
2020-12-24,0.5989482914852864
2020-12-25,0.6262502939693957
2020-12-26,0.620216777977393
2020-12-27,0.6064242646696223
2020-12-28,0.6066070696063535
2020-12-29,0.5999611635332369
2020-12-30,0.5908885216076917
2020-12-31,0.5821996732099937
2021-01-01,0.5737683577457648
2021-01-02,0.5776772585138555
2021-01-03,0.6089866217044866
2021-01-04,0.5914766851879266
2021-01-05,0.5659856001255973
2021-01-06,0.567466645719136
2021-01-07,0.5530178030083583
2021-01-08,0.5320232931882074
2021-01-09,0.5395171273898572
2021-01-10,0.5499505225848373
2021-01-11,0.5359103989768528
2021-01-12,0.5312507187124469
2021-01-13,0.5192075035619833
2021-01-14,0.5243982621426078
2021-01-15,0.5311772262690628
2021-01-16,0.5296165458688791
2021-01-17,0.5447348012413377
